idx,task_id,template_id,reward,judge,nc,n,steps
0,21,222,0,0,0,1,4
1,22,222,1,0,0,1,1
2,23,222,1,0,0,1,5
3,24,222,1,0,0,1,1
4,25,222,0,0,0,1,3
5,26,222,1,0,0,1,3
6,47,197,1,0,0,1,4
7,48,197,1,0,0,1,4
8,49,197,1,0,0,1,4
9,50,197,0,0,0,1,4
10,51,197,0,0,0,1,4
11,96,193,1,0,0,1,5
12,117,161,1,0,0,1,4
13,118,151,0,0,0,1,4
14,124,159,0,0,0,1,5
15,125,159,0,0,0,1,10
16,126,159,0,0,0,1,10
17,141,162,0,0,0,1,6
18,142,162,0,0,0,1,8
19,143,162,0,0,0,1,5
20,144,162,0,0,0,1,8
21,145,162,1,0,0,1,5
22,146,155,0,0,0,1,10
23,147,155,0,0,0,1,30
24,148,155,1,0,0,1,7
